,symbol,currency,shortName,longName,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceEarnings,earningsPerShare,logourl,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,averageDailyVolume3Month,averageDailyVolume10Day,marketCap,publicoalvo,administrador,rendimento,dy,data_pagamento,data_base,rendimento_12m,rendimento_12m_porcen,patrimonio_cota,cota_vp,negocios,participacao_ifix,numero_cotista,patrimonio,cota_base,tipo,subtipo
16,BBPO11,BRL,FII BB PRGIICI,BB Progressivo II Fundo de Investimento Imobiliário - FII,0.23000336,0.23541798,2023-07-28T20:05:00.000Z,97.93,97.94,97.4 - 97.94,97.4,16651.0,97.7,97.7,19.79,0.25326338,78.14 - 99.68,-1.75,-0.01755618,78.14,99.68,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,88.6544,9.275597,0.10462646,14286.0,15194.0,1559016192.0,Investidores em Geral,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,0.9,0.97,15/06/2023,31/05/2023,0.91,0.98,100.9,0.93,24.0,1.34,74354.0,1607257718.79,92.76,Tijolo,Agências de Bancos
17,BBRC11,BRL,FII BB CORP CI,BB Renda Corporativa Fundo de Investimento Imobiliário - FII,0.98999786,0.9081716,2023-07-28T20:00:00.000Z,110.0,110.0,108.16 - 110.0,108.16,776.0,109.01,109.01,20.010002,0.22235806,89.99 - 110.0,0.0,0.0,89.99,110.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,97.02635,12.973648,0.13371262,1285.0,1731.0,174900000.0,Investidores em Geral,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,1.07,1.06,15/06/2023,31/05/2023,1.01,1.0,108.09,0.95,3.0,,9426.0,171960410.21,101.0,Tijolo,Agências de Bancos
18,BCFF11,BRL,FII BC FFII CI,Fundo De Investimento Imobiliário - FII BTG Pactual Fundo De Fundos,0.069999695,0.09728937,2023-07-28T20:06:00.000Z,72.02,72.35,71.79 - 72.35,71.79,28999.0,71.95,71.95,11.769997,0.19535264,60.25 - 73.94,-1.9200058,-0.025967078,60.25,73.94,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,66.61395,5.406044,0.08115483,33260.0,31362.0,428472896.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.56,0.81,15/06/2023,07/06/2023,0.56,0.81,72.38,0.94,122.0,1.53,302382.0,1872416798.39,69.3,Papel,Fundo de Fundos
19,BCIA11,BRL,FII BCIA    CI,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,0.91000366,0.86667013,2023-07-28T19:54:43.000Z,105.91,105.91,104.82 - 105.91,104.82,9087.0,105.0,104.82,26.450005,0.33287194,79.46 - 106.67,-0.7599945,-0.007124726,79.46,106.67,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,87.5296,18.380402,0.2099907,9734.0,5266.0,393883552.0,Investidores em Geral,BANCO BRADESCO S.A.,0.8,0.9,29/06/2023,31/05/2023,0.76,0.86,99.88,0.91,32.0,0.31,17070.0,386633870.47,89.17,Papel,Fundo de Fundos
20,BCRI11,BRL,FII BEES CRICI,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,0.47999573,0.6317395,2023-07-28T20:05:00.000Z,76.46,76.46,75.8 - 76.46,75.8,7353.0,75.98,76.4,9.159996,0.13610692,67.3 - 106.53,-30.07,-0.2822679,67.3,106.53,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,86.54015,-10.080154,-0.11647951,8831.0,8095.0,478476736.0,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.8,1.0,15/06/2023,31/05/2023,1.03,1.29,98.31,0.81,32.0,0.43,47935.0,614619618.42,80.0,Papel,Papéis
21,BICE11,BRL,FII BRIO CRECI,,0.0,0.0,2023-07-26T16:52:58.000Z,947.99,947.99,947.99 - 947.99,947.99,0.0,947.99,0.0,107.98999,0.12855951,840.0 - 1000.0,-52.01001,-0.05201001,840.0,1000.0,,,https://brapi.dev/favicon.svg,968.6836,-20.693604,-0.021362603,242.0,355.0,,Investidor Profissional,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,10.0,,07/06/2023,31/05/2023,10.61,,972.94,1.01,12.0,,112.0,69066752.65,,Papel,Fundo de Fundos
22,BICR11,BRL,FII INTER   CI,Inter Titulos Imobiliarios Fundo De Investimento Imobiliario,0.0,0.0,2023-07-27T17:31:52.000Z,98.46,98.46,98.46 - 98.46,98.46,0.0,98.46,0.0,12.459999,0.1448837,86.0 - 110.48,-12.020004,-0.108798005,86.0,110.48,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,97.8712,0.5887985,0.006016055,6.0,7.0,,Investidores em Geral,INTER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,1.18,,15/06/2023,31/05/2023,0.84,,99.6,0.97,60.0,,530.0,48083086.49,,Papel,Papéis
23,BIME11,BRL,FII BRIO ME CI,Brio Multiestrategia - Fundo De Investimento Imobiliario,-0.03000021,-0.38660064,2023-07-28T19:53:17.000Z,7.73,7.78,7.65 - 7.78,7.65,5076.0,7.76,7.75,1.21,0.18558283,6.52 - 9.5,-1.77,-0.18631579,6.52,9.5,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,7.4967,0.23330021,0.031120388,11057.0,6750.0,45385768.0,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.09,1.2,15/06/2023,06/06/2023,0.09,1.25,8.92,0.84,11.0,,7954.0,51385862.72,7.53,Fundo Misto,Indefinido
24,BLCA11,BRL,FII BLUE AAACI,Bluemacaw Catuai Triple A Fundo De Investimento Imobiliario,0.0,0.0,2023-07-26T19:52:39.000Z,132.0,132.0,132.0 - 132.0,132.0,0.0,132.0,0.0,47.0,0.5529412,85.0 - 138.74,-6.7400055,-0.048580114,85.0,138.74,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,108.2235,23.776497,0.21969809,457.0,4.0,211200000.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.57,0.41,16/06/2023,09/06/2023,0.56,0.4,138.74,0.99,53.0,,198.0,219374213.05,138.0,Fundo Misto,Indefinido
25,BLMC11,BRL,FII BLUE CRICI  ER,Bluemacaw Credito Imobiliario Fundo De Investimento Imobiliario,-0.5300064,-0.64935845,2023-07-28T19:45:53.000Z,81.09,81.64,80.82 - 81.64,80.82,18.0,81.62,81.62,11.609993,0.16709834,69.48 - 98.96,-17.870003,-0.18057804,69.48,98.96,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,79.03645,2.053543,0.025982227,54.0,47.0,32403400.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.84,1.04,22/06/2023,15/06/2023,0.89,1.1,98.06,0.82,214.0,,428.0,39172986.04,81.0,Papel,Papéis
26,BLMG11,BRL,FII BLUE LOGCI,Bluemacaw Logastica Fundo De Investimento ImobiliaRio,0.38000488,0.56422406,2023-07-28T20:05:00.000Z,67.73,67.73,67.22 - 67.73,67.22,3380.0,67.35,67.4,7.6100044,0.12658025,60.12 - 91.99,-24.259995,-0.26372427,60.12,91.99,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,70.69185,-2.9618454,-0.041897975,6978.0,7677.0,,Investidores em Geral,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,0.72,1.06,15/06/2023,07/06/2023,0.78,1.16,90.32,0.74,16.0,0.23,12992.0,340250518.9,67.73,Tijolo,Imóveis Industriais e Logísticos
27,BLMO11,BRL,FII BLUEMAC CI,Bluemacaw Office Fund Ii - Fundo De Investimento Imobiliario,50.0,0.23867488,2023-03-21T16:16:13.000Z,20999.0,20999.0,20999.0 - 20999.0,20999.0,0.0,20949.0,0.0,5999.0,0.39993334,15000.0 - 25000.0,-4001.0,-0.16004,15000.0,25000.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,22370.479,-1371.4785,-0.06130752,38.0,21.0,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,90.0,,15/06/2023,31/05/2023,42.01,,33526.9,0.63,3.0,,93.0,126883786.52,,Tijolo,Lajes Corporativas
28,BLMR11,BRL,FII BLUE FOFCI,Bluemacaw Renda Fof Fundo De Investimento Imobiliario,0.13999987,1.9021722,2023-07-28T20:05:00.000Z,7.5,7.5,7.36 - 7.5,7.36,19021.0,7.36,7.37,1.4499998,0.23966938,6.05 - 8.11,-0.60999966,-0.07521574,6.05,8.11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,6.82025,0.67974997,0.09966643,62584.0,59836.0,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.06,0.8,15/06/2023,06/06/2023,0.07,1.01,7.45,0.87,36.0,0.15,18814.0,198592158.29,6.85,Papel,Fundo de Fundos
29,BLUR11,BRL,FII BLUE RECCI  ER,Fundo De Investimento Imobiliario - Blue Recebiveis Imobiliarios,0.0,0.0,2023-07-28T13:37:09.000Z,100.39,100.39,100.39 - 100.39,100.39,3.0,100.39,100.39,10.389999,0.11544444,90.0 - 105.29,-4.9000015,-0.046538148,90.0,105.29,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,100.79495,-0.404953,-0.004017592,65.0,57.0,,Investidores em Geral,BANCO DAYCOVAL S.A.,1.03,,19/06/2023,12/06/2023,1.03,,95.69,1.05,13.0,,98.0,8612265.9,,Papel,Papéis
30,BMLC11,BRL,FII BMBRC LCCI,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,0.76000214,0.7405263,2023-07-28T17:39:26.000Z,103.39,103.42,100.69 - 103.42,100.69,71.0,102.63,102.63,10.389999,0.11172042,93.0 - 116.53,-13.139999,-0.112760656,93.0,116.53,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,102.21615,1.173851,0.011484007,262.0,280.0,103225096.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.8,0.77,15/06/2023,07/06/2023,0.77,0.74,113.26,0.91,436.0,,1404.0,113123913.93,104.0,Tijolo,Lajes Corporativas
31,BNFS11,BRL,FII BANRISULCI,Banrisul N Front Fund Investment IMO FII Fund,0.4300003,0.35684672,2023-07-28T19:42:49.000Z,120.93,121.0,120.03 - 121.0,120.03,545.0,120.5,120.5,10.940002,0.09946361,109.99 - 135.0,-14.07,-0.10422222,109.99,135.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,119.1012,1.828804,0.015355043,1217.0,791.0,84651000.0,Investidores em Geral,OLIVEIRA TRUST DTVM S.A.,1.53,1.28,15/06/2023,31/05/2023,1.47,1.22,93.21,1.26,2.0,,4245.0,64184869.89,119.95,Tijolo,Agências de Bancos
32,BPFF11,BRL,FII ABSOLUTOCI,Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos,0.30999756,0.431151,2023-07-28T20:00:00.000Z,72.21,72.39,71.59 - 72.39,71.59,1122.0,71.9,71.9,14.68,0.25517124,57.53 - 72.44,-0.23000336,-0.0031750877,57.53,72.44,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,64.365,7.845001,0.121883035,5559.0,3857.0,324391136.0,Investidores em Geral,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,0.62,0.94,07/06/2023,31/05/2023,0.66,1.0,72.68,0.91,17.0,0.26,19039.0,337231586.24,66.23,Papel,Fundo de Fundos
33,BPML11,BRL,FII BTG SHOPCI,Fundo De Investimento Imobiliario BTG Pactual Shoppings,0.0,0.0,2023-07-28T18:04:34.000Z,64.04,64.58,64.04 - 64.58,64.04,4404.0,64.04,64.04,13.040001,0.25568628,51.0 - 73.6,-9.559998,-0.12989128,51.0,73.6,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,61.3587,2.681301,0.04369879,1249.0,1476.0,,Investidor Qualificado,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.27,0.46,24/02/2023,15/02/2023,0.29,0.5,124.12,0.48,1.0,,1557.0,523519124.6,58.9,Tijolo,Shoppings
34,BPRP11,BRL,FII BRLPROP CI,Fundo De Investimento Imobiliario - Fii Brlprop,0.0,0.0,2023-07-11T13:09:14.000Z,109.15,109.15,109.15 - 109.15,109.15,0.0,109.15,0.0,19.150002,0.2127778,90.0 - 115.94,-6.790001,-0.058564782,90.0,115.94,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,96.82845,12.321548,0.12725133,5.0,0.0,,Investidor Qualificado,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.9,0.82,15/06/2023,07/06/2023,0.88,0.8,109.15,1.01,20.0,,175.0,147339808.3,109.9,Tijolo,Imóveis Industriais e Logísticos
35,BRCO11,BRL,FII BRESCO  CI,Bresco - Fundo De Investimento Imobiliario,1.9700012,1.6485366,2023-07-28T20:05:00.000Z,121.47,121.49,119.24 - 121.49,119.24,16513.0,119.5,119.5,31.470001,0.34966668,90.0 - 121.78,-0.30999756,-0.002545554,90.0,121.78,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,102.94605,18.523949,0.1799384,35305.0,25598.0,,Investidores em Geral,OLIVEIRA TRUST DTVM S.A.,0.78,0.69,15/06/2023,31/05/2023,0.67,0.59,121.26,0.97,123.0,1.52,110637.0,1777631688.06,113.0,Tijolo,Imóveis Industriais e Logísticos
36,BRCR11,BRL,FII BC FUND CI,Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund,0.4300003,0.6401672,2023-07-28T20:05:00.000Z,67.6,67.6,67.2 - 67.6,67.2,14712.0,67.17,67.3,17.3,0.34393638,50.3 - 71.2,-3.5999985,-0.05056178,50.3,71.2,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,59.0297,8.570297,0.14518619,28062.0,21591.0,1800742272.0,Investidores em Geral,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,0.45,0.76,15/06/2023,07/06/2023,0.47,0.79,98.71,0.62,96.0,1.46,156384.0,2673340100.98,59.0,Tijolo,Lajes Corporativas
37,BREV11,BRL,FII BRE VIC CI,Brazil Real Estate Victory Fund I Fundo De Investimento Imobiliario,-0.05000305,-0.04549868,2023-07-28T16:25:30.000Z,109.85,109.85,109.85 - 109.85,109.85,1.0,109.9,109.85,27.799995,0.33881772,82.05 - 129.0,-19.150002,-0.14844963,82.05,129.0,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,100.3927,9.457298,0.09420305,22.0,8.0,,Investidores em Geral,BR-CAPITAL DTVM S.A.,0.58,0.61,15/06/2023,06/06/2023,0.93,0.97,117.23,0.81,153.0,,269.0,113377630.16,95.34,Tijolo,Lajes Corporativas
38,BRIM11,BRL,FII BRIO II CI,Brio Real Estate II - Fundo De Investimento Imobiliario - FII,14.5,1.4275588,2022-07-29T19:20:41.000Z,1030.22,0.0,0.0 - 0.0,0.0,0.0,1015.72,0.0,1030.22,,0.0 - 0.0,1030.22,,0.0,0.0,,,https://brapi.dev/favicon.svg,,,,,,,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,49.0,,15/06/2023,31/05/2023,25.49,,1170.11,0.92,,,221.0,138831849.28,,Fundo Misto,Fundo de Desenvolvimento
39,BRIP11,BRL,FII BRIO IIICI,Brio Real Estate III - Fundo De Investimento Imobiliario,9.299988,0.9886136,2023-06-29T17:11:33.000Z,950.01,950.01,950.01 - 950.01,950.01,0.0,940.71,0.0,41.01001,0.045115523,909.0 - 1213.99,-263.97998,-0.21744823,909.0,1213.99,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,1051.1785,-101.16846,-0.09624289,3.0,0.0,196152368.0,Investidores em Geral,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,107.0,9.6,16/02/2023,07/02/2023,8.92,0.8,1093.91,0.99,4.0,,256.0,206521577.91,1115.0,Fundo Misto,Fundo de Desenvolvimento
