,Fundo,CNPJ,Quantidade,Valor (R$),Tipo,Data Referência,Dono
1,CACR11,32..06.5.3/64/0-00,"28.391,00",2786008.83,FII,30/06/2022,ARRI11
2,EDGA11,15..33.3.3/06/0-00,"3.000,00",54540.0,FII,30/06/2022,ARRI11
3,MORC11,40..10.2.4/74/0-00,"16.486,00",1583480.3,FII,30/06/2022,ARRI11
0,CACR11,03.586.444/8001-38,"28.391,00",2944146.7,FII,31/12/2022,ARRI11
1,EDGA11,32..06.5.3/64/0-00,"3.000,00",57150.0,FII,31/12/2022,ARRI11
2,KNSC11,15..33.3.3/06/0-00,"15.000,00",1296000.0,FII,31/12/2022,ARRI11
3,MORC11,40..10.2.4/74/0-00,"5.000,00",475650.0,FII,31/12/2022,ARRI11
0,CVBI11,28.729.197/0001-13,"30.598,00",2730565.52,FII,31/03/2023,BARI11
1,CYCR11,36.501.233/0001-15,"540.655,00",4346866.2,FII,31/03/2023,BARI11
2,KNHY11,30.130.708/0001-28,"35.500,00",3500300.0,FII,31/03/2023,BARI11
3,KNIP11,24.960.430/0001-13,"43.000,00",3948690.0,FII,31/03/2023,BARI11
4,MXRF11,97.521.225/0001-25,"1.082.690,00",11238322.2,FII,31/03/2023,BARI11
5,VGIP11,34.197.811/0001-46,"80.746,00",6434648.74,FII,31/03/2023,BARI11
6,IBCR11,40.011.251/0001-96,"14.100,00",1097967.0,FII,31/03/2023,BARI11
7,FII GUARD MU,41.269.052/0001-45,"157.786,00",1300156.64,FII,31/03/2023,BARI11
0,CVBI11,28.729.197/0001-13,"30.598,00",2640607.4,FII,31/12/2022,BARI11
1,CYCR11,36.501.233/0001-15,"500.000,00",4460000.0,FII,31/12/2022,BARI11
2,KNHY11,30.130.708/0001-28,"35.500,00",3472255.0,FII,31/12/2022,BARI11
3,KNIP11,24.960.430/0001-13,"43.000,00",3953850.0,FII,31/12/2022,BARI11
4,MXRF11,97.521.225/0001-25,"1.251.133,00",12623931.97,FII,31/12/2022,BARI11
5,VGIP11,34.197.811/0001-46,"80.746,00",6936888.86,FII,31/12/2022,BARI11
6,GAME11,41.269.052/0001-45,"143.441,00",1286665.77,FII,31/12/2022,BARI11
7,GAME13,41.269.052/0001-45,"14.345,00",128674.65,FII,31/12/2022,BARI11
8,IBCR11,40.011.251/0001-96,"14.100,00",1205550.0,FII,31/12/2022,BARI11
0,Itaú Soberano RF,06..17.5.6/96/0-00,"1.030.265,70",60529026.33,Outros,31/03/2023,BBPO11
0,ASA METROPOLIS FI IMOBILIARIO,38.293.921/0001-62,"105.995,00",7790632.5,FII,31/12/2022,BCFF11
1,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FII,20.216.935/0001-17,"10.307,00",876000.0,FII,31/12/2022,BCFF11
2,BTG PACTUAL LOGISTICA FII,11.839.593/0001-09,"589.749,00",59210799.6,FII,31/12/2022,BCFF11
3,BTGP REAL ESTATE PRIME OPPORTUNITIES FII,36.642.311/0001-00,"1.531.612,18",154244517.05,FII,31/12/2022,BCFF11
4,CAPITANIA SECURITIES II FII - FII,18.979.895/0001-13,"437.946,00",35950987.14,FII,31/12/2022,BCFF11
5,CSHG RENDA URBANA FI IMOBILIARIO FII,29.641.226/0001-53,"156,00",19061.64,FII,31/12/2022,BCFF11
6,FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA FII,17.590.518/0001-25,"124.761,00",6286706.79,FII,31/12/2022,BCFF11
7,FI IMOBILIARIO - FII ANHANGUERA EDUCACIONAL,11.179.118/0001-45,"62.039,00",9301507.27,FII,31/12/2022,BCFF11
8,FI IMOBILIARIO - FII HOSP. NOSSA SRA. DE LOURDES,08.014.513/0001-63,"32.464,00",5417592.32,FII,31/12/2022,BCFF11
9,FI IMOBILIARIO - FII HOTEL MAXINVEST,08.706.065/0001-69,"253.196,00",28244013.8,FII,31/12/2022,BCFF11
10,FI IMOBILIARIO BM BRASCAN LAJES CORP FII,14.376.247/0001-11,"155.261,00",15835069.39,FII,31/12/2022,BCFF11
11,FI IMOBILIARIO BTG PACTUAL CORP OFFICE FUND,08.924.783/0001-01,"885.080,00",52414437.6,FII,31/12/2022,BCFF11
12,FII - MOGNO HOTEIS,34.197.776/0001-65,"100.000,00",5300000.0,FII,31/12/2022,BCFF11
13,FII BRASIL PLURAL ABSOLUTO FUNDOS DE FUNDOS,17.324.357/0001-28,"10.053,00",645000.0,FII,31/12/2022,BCFF11
14,FII BTG PACTUAL FUNDO DE CRI,09.552.812/0001-14,"2.352.690,00",190309094.1,FII,31/12/2022,BCFF11
15,FII BTG PACTUAL PRIME OFFICES I - FII,18.312.285/0001-61,"76.508.996,08",150151146.52,FII,31/12/2022,BCFF11
16,FII CENESP,13.551.286/0001-45,"181.475,00",5879790.0,FII,31/12/2022,BCFF11
17,FII IRIDIUM RECEBIVEIS IMOBILIARIOS,28.830.325/0001-10,"521.431,00",48154152.85,FII,31/12/2022,BCFF11
18,FII MAUA CAPITAL RECEBIVEIS IMOBILIARIOS - FII,23.648.935/0001-84,"365.979,00",32169554.1,FII,31/12/2022,BCFF11
19,FII MOGNO CRI HIGH GRADE,35.652.204/0001-91,"240.000,00",18746400.0,FII,31/12/2022,BCFF11
20,FII RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,"156.499,00",19891022.9,FII,31/12/2022,BCFF11
21,FII RIO BRAVO RENDA EDUCACIONAL - FII,13.873.457/0001-52,"85.073,00",10013092.1,FII,31/12/2022,BCFF11
22,FII SHOPPING JARDIM SUL,14.879.856/0001-93,"320.839,00",25987959.0,FII,31/12/2022,BCFF11
23,FII SPX SYN MULTIESTRATEGIA,43.010.543/0001-00,"50.000,00",4725000.0,FII,31/12/2022,BCFF11
24,FII XP LOG,26.502.794/0001-85,"14.259,00",1413000.0,FII,31/12/2022,BCFF11
25,FUNDO DE INV  IMOB BTG PACTUAL SHOPPINGS,33.046.142/0001-49,"883.296,00",55744810.56,FII,31/12/2022,BCFF11
26,FUNDO DE INVESTIMENTO IMOBILIARIO - FII CEO CYRELA,15.799.397/0001-09,"231.698,00",12567299.52,FII,31/12/2022,BCFF11
27,FUNDO DE INVESTIMENTO IMOBILIARIO - FII EDIFICIO G,15.333.306/0001-37,"402.396,00",7665643.8,FII,31/12/2022,BCFF11
28,FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,03.251.720/0001-18,"85.874,00",11762000.0,FII,31/12/2022,BCFF11
29,FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00.332.266/0001-31,"58.865,00",6475000.0,FII,31/12/2022,BCFF11
30,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,27.368.600/0001-63,"593.396,00",55483000.0,FII,31/12/2022,BCFF11
31,GALAPAGOS RI FII,38.293.897/0001-61,"110.000,00",10222300.0,FII,31/12/2022,BCFF11
32,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBIL,08.431.747/0001-06,"2.023,00",384653.22,FII,31/12/2022,BCFF11
33,HEDGE RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENT,35.507.262/0001-21,"14.822,00",1207993.0,FII,31/12/2022,BCFF11
34,IRIDIUM FII,41.076.564/0001-95,"1.488.333,00",144949634.29,FII,31/12/2022,BCFF11
35,KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,30.130.708/0001-28,"145.226,00",14205000.0,FII,31/12/2022,BCFF11
36,KINEA INDICES DE PREÇOS FII,24.960.430/0001-13,"1.304.850,00",119980286.46,FII,31/12/2022,BCFF11
37,KINEA RENDIMENTOS IMOBILIARIOS FII,16.706.958/0001-32,"101.236,00",9990980.84,FII,31/12/2022,BCFF11
38,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII,35.864.448/0001-38,"108.486,00",9373000.0,FII,31/12/2022,BCFF11
39,MAXI RENDA FI IMOBILIARIO FII,97.521.225/0001-25,"3.518.438,00",35501039.42,FII,31/12/2022,BCFF11
40,MOGNO SUNO LOGISTICA FII,40.041.711/0001-29,"238.281,00",9512177.52,FII,31/12/2022,BCFF11
41,MULTI SHOPPINGS FII,22.459.737/0001-00,"140.557,00",13105534.68,FII,31/12/2022,BCFF11
42,RB CAPITAL LOGISTICO FII,35.652.227/0001-04,"285.899,00",27417714.1,FII,31/12/2022,BCFF11
43,RBR CRI - FII,40.011.268/0001-43,"550.000,00",46205500.0,FII,31/12/2022,BCFF11
44,RIO BRAVO CREDITO IMOBILIARIO IV FUNDO DE INVESTIM,30.647.758/0001-87,"490.795,00",42232909.75,FII,31/12/2022,BCFF11
45,RIZA AKIN FII,36.642.219/0001-31,"3.161,00",305858.36,FII,31/12/2022,BCFF11
46,SANTANDER RENDA DE ALUGUÉIS FII,32.903.702/0001-71,"58.886,00",3998000.0,FII,31/12/2022,BCFF11
47,SUNO RECEBIVEIS IMOB FII,41.076.710/0001-82,"27.188,00",2676930.48,FII,31/12/2022,BCFF11
48,TELLUS PROPERTIES FII,26.681.370/0001-25,"62.989,00",4220892.89,FII,31/12/2022,BCFF11
49,VALORA CRI CDI FII,29.852.732/0001-91,"600.120,00",5911182.0,FII,31/12/2022,BCFF11
50,VALORA CRI INDICE DE PRECO FII - FII,34.197.811/0001-46,"285.494,00",24526789.54,FII,31/12/2022,BCFF11
51,XP CREDITO IMOBILIARIO FUNDO DE INVESTIMENTO IMOBI,28.516.301/0001-91,"89.839,00",7303012.31,FII,31/12/2022,BCFF11
52,XP MALLS FUNDO DE INVESTIMENTO IMOBILIARIO FII,28.757.546/0001-00,"101,00",9663.68,FII,31/12/2022,BCFF11
53,BTG PACTUAL YIELD DI FI RF REF CP,00.840.011/0001-80,"1.489.956,43",55159268.88,Outros,31/12/2022,BCFF11
54,BTGP CAPITAL MARKETS FI RF,04.501.865/0001-92,"5.303.930,75",57754818.26,Outros,31/12/2022,BCFF11
0,AUTONOMY EDIFÍCIOS CORPORATIVOS FII,35.765.826/0001-26,"72.066,00",4396026.0,FII,31/03/2023,BCIA11
1,BB PROGRESSIVO II FI IMOB FII,14.410.722/0001-29,"16.351,00",1385256.72,FII,31/03/2023,BCIA11
2,BRESCO - FUNDO DE INVESTIMENTO IMOBILIÁR,20.748.515/0001-81,"142.685,00",13302522.55,FII,31/03/2023,BCIA11
3,CAPITÂNIA REIT FOF - FDO INV IMOB II,48.916.246/0001-34,"17.500,00",876400.0,FII,31/03/2023,BCIA11
4,CSHG BRASIL SHOPPING - FUNDO DE INVESTIM,08.431.747/0001-06,"18.637,00",3399388.8,FII,31/03/2023,BCIA11
5,CSHG JHSF PRIME OFFICES FII,11.260.134/0001-68,"1.283,00",314463.3,FII,31/03/2023,BCIA11
6,CSHG LOGÍSTICA FI IMOB,11.728.688/0001-47,"15.566,00",2497876.02,FII,31/03/2023,BCIA11
7,CSHG RECEBIVEIS IMOBILIARIOS BC - FUNDO,11.160.521/0001-22,"34.678,00",3571487.22,FII,31/03/2023,BCIA11
8,CSHG RENDA URBANA - FDO INV IMOB - FII,29.641.226/0001-53,"51.800,00",5968396.0,FII,31/03/2023,BCIA11
9,FDO INV IMOB - VBI LOGÍSTICO,30.629.603/0001-18,"139.560,00",13224705.6,FII,31/03/2023,BCIA11
10,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I,29.267.567/0001-00,"85.933,00",6832532.83,FII,31/03/2023,BCIA11
11,FDO INV IMOB RBR CREDITO IMOB ESTRUTURAD,30.166.700/0001-11,"122.457,00",11867307.87,FII,31/03/2023,BCIA11
12,FDO INV IMOB SHOPPING PATIO HIGIENOPOLIS,03.507.519/0001-59,"689,00",454740.0,FII,31/03/2023,BCIA11
13,FDO INV IMOB TORRE NORTE,04.722.883/0001-02,"9.808,00",1010322.08,FII,31/03/2023,BCIA11
14,FDO INV. IMOB. VBI CRI,28.729.197/0001-13,"148.462,00",13248748.88,FII,31/03/2023,BCIA11
15,FDO. INV. IMOB. VBI PRIME PROPERTIES,35.652.102/0001-76,"196.949,00",17626935.5,FII,31/03/2023,BCIA11
16,FII BC FFII,11.026.627/0001-38,"18.600,00",1150038.0,FII,31/03/2023,BCIA11
17,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,09.552.812/0001-14,"1.084.365,00",9748441.35,FII,31/03/2023,BCIA11
18,FII CAMPOS FARIA LIMA,11.602.654/0001-01,"39.407,00",6780185.22,FII,31/03/2023,BCIA11
19,FII CAPI SEC,18.979.895/0001-13,"74.765,00",5672420.55,FII,31/03/2023,BCIA11
20,FII D PEDRO,10.869.155/0001-12,"61,00",97600.0,FII,31/03/2023,BCIA11
21,FII JS REAL,13.371.132/0001-71,"198.327,00",12201077.04,FII,31/03/2023,BCIA11
22,FII KINEA,30.091.444/0001-40,"11.100,00",864135.0,FII,31/03/2023,BCIA11
23,FII KINEA RI,16.706.958/0001-32,"185.194,00",18141604.24,FII,31/03/2023,BCIA11
24,FII MAUA,23.648.935/0001-84,"134.497,00",11430900.03,FII,31/03/2023,BCIA11
25,FII OLIMPIA,15.296.696/0001-12,"10.545,00",970140.0,FII,31/03/2023,BCIA11
26,FII RBR PROP,21.408.063/0001-51,"23.400,00",1027728.0,FII,31/03/2023,BCIA11
27,FII RBR RENDIMENTO HIGH GRADE,29.467.977/0001-03,"145.961,00",12581838.2,FII,31/03/2023,BCIA11
28,FII RBRALPHA,27.529.279/0001-51,"37.800,00",2371194.0,FII,31/03/2023,BCIA11
29,FII RIO BRAVO RENDA EDUCACIONAL,13.873.457/0001-52,"33.505,00",4130831.45,FII,31/03/2023,BCIA11
30,FII RIO NEGRO,15.006.286/0001-90,"25.736,00",1232754.4,FII,31/03/2023,BCIA11
31,FII TORRE ALMIRANTE,07.122.725/0001-00,"2.544,00",1887775.2,FII,31/03/2023,BCIA11
32,FII XP MALLS,28.757.546/0001-00,"177.576,00",16956732.24,FII,31/03/2023,BCIA11
33,FIM IMOB BM EDIFÍCIO GALERIA FII,15.333.306/0001-37,"1.500,00",29415.0,FII,31/03/2023,BCIA11
34,FUNDO DE INVESTIMENTO IMOBILIARIO FI IMO,08.924.783/0001-01,"144.769,00",7640907.82,FII,31/03/2023,BCIA11
35,FUNDO INVEST IMOB RIO BRAVO RENDA CORP,03.683.056/0001-86,"30.423,00",13492462.17,FII,31/03/2023,BCIA11
36,HEDGE TOP FOFII 3 FII,18.307.582/0001-19,"12.300,00",798885.0,FII,31/03/2023,BCIA11
37,HG REAL ESTATE-FUNDO DE INVESTIMENTO IMO,09.072.017/0001-29,"117.831,00",13149939.6,FII,31/03/2023,BCIA11
38,HSI LOGÍSTICA FII,32.903.621/0001-71,"6.197,00",469484.72,FII,31/03/2023,BCIA11
39,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁ,32.892.018/0001-31,"143.945,00",11465219.25,FII,31/03/2023,BCIA11
40,JRDM - FII SHOPJSUL,14.879.856/0001-93,"3.367,00",272289.29,FII,31/03/2023,BCIA11
41,KINEA HIGH YIELD CRI FDO INV IMOB - FII,30.130.708/0001-28,"111.835,00",11026931.0,FII,31/03/2023,BCIA11
42,KINEA ÍNDICES DE PREÇOS FDO INV IMOB - F,24.960.430/0001-13,"268.413,00",24648365.79,FII,31/03/2023,BCIA11
43,KINEA RENDA IMOBILIARIA FUNDO DE INVESTI,12.005.956/0001-65,"67.540,00",9312415.2,FII,31/03/2023,BCIA11
44,KINEA RENDIMENTOS FII,35.864.448/0001-38,"124.565,00",10741239.95,FII,31/03/2023,BCIA11
45,LOGCP FII CLOSED FUND,34.598.181/0001-11,"84.155,00",6077674.1,FII,31/03/2023,BCIA11
46,SDI LOGISTICA RIO - FUNDO DE INVESTIMENT,16.671.412/0001-93,"61.803,00",8357100.0,FII,31/03/2023,BCIA11
47,VINCI LOGÍSTICA FDO INV IMOB - FII,24.853.044/0001-22,"8.371,00",742089.15,FII,31/03/2023,BCIA11
48,VINCI SHOPPING CENTERS FDO INVEST IMOB,17.554.274/0001-25,"50.534,00",5151435.96,FII,31/03/2023,BCIA11
49,XP CREDITO IMOBILIÁRIO - FDO INV IMOB,28.516.301/0001-91,"153.898,00",12727364.6,FII,31/03/2023,BCIA11
50,XP LOG FII,26.502.794/0001-85,"109.048,00",10291950.24,FII,31/03/2023,BCIA11
0,AUTONOMY EDIFÍCIOS CORPORATIVOS FII,35.765.826/0001-26,"72.066,00",5004983.7,FII,30/12/2022,BCIA11
1,BB PROGRESSIVO II FI IMOB FII,14.410.722/0001-29,"16.351,00",1398010.5,FII,30/12/2022,BCIA11
2,BRESCO - FUNDO DE INVESTIMENTO IMOBILIÁR,20.748.515/0001-81,"136.635,00",13433953.2,FII,30/12/2022,BCIA11
3,CAPITÂNIA REIT FOF - FDO. INVEST. IMOB,34.081.611/0001-23,"0,00",1142750.0,FII,30/12/2022,BCIA11
4,CSHG BRASIL SHOPPING - FUNDO DE INVESTIM,08.431.747/0001-06,"14.058,00",2672988.12,FII,30/12/2022,BCIA11
5,CSHG JHSF PRIME OFFICES FII,11.260.134/0001-68,"1.283,00",337698.43,FII,30/12/2022,BCIA11
6,CSHG LOGÍSTICA FI IMOB,11.728.688/0001-47,"15.566,00",2560607.0,FII,30/12/2022,BCIA11
7,CSHG RECEBIVEIS IMOBILIARIOS BC - FUNDO,11.160.521/0001-22,"112.578,00",11499842.7,FII,30/12/2022,BCIA11
8,CSHG RENDA URBANA - FDO INV IMOB - FII,29.641.226/0001-53,"44.200,00",5400798.0,FII,30/12/2022,BCIA11
9,FDO INV IMOB - VBI LOGÍSTICO,30.629.603/0001-18,"139.560,00",14378866.8,FII,30/12/2022,BCIA11
10,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I,29.267.567/0001-00,"85.933,00",7527730.8,FII,30/12/2022,BCIA11
11,FDO INV IMOB RBR CREDITO IMOB ESTRUTURAD,30.166.700/0001-11,"118.457,00",11652615.09,FII,30/12/2022,BCIA11
12,FDO INV IMOB SHOPPING PATIO HIGIENOPOLIS,03.507.519/0001-59,"689,00",507420.94,FII,30/12/2022,BCIA11
13,FDO INV IMOB TORRE NORTE,04.722.883/0001-02,"9.808,00",1226000.0,FII,30/12/2022,BCIA11
14,FDO INV. IMOB. VBI CRI,28.729.197/0001-13,"148.462,00",12812270.6,FII,30/12/2022,BCIA11
15,FDO. INV. IMOB. VBI PRIME PROPERTIES,35.652.102/0001-76,"196.049,00",18379593.75,FII,30/12/2022,BCIA11
16,FII BC FFII,11.026.627/0001-38,"18.600,00",1232436.0,FII,30/12/2022,BCIA11
17,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,09.552.812/0001-14,"120.485,00",9746031.65,FII,30/12/2022,BCIA11
18,FII CAMPOS FARIA LIMA,11.602.654/0001-01,"39.407,00",7455867.09,FII,30/12/2022,BCIA11
19,FII CAPI SEC,18.979.895/0001-13,"52.965,00",4347896.85,FII,30/12/2022,BCIA11
20,FII D PEDRO,10.869.155/0001-12,"61,00",131455.0,FII,30/12/2022,BCIA11
21,FII JS REAL,13.371.132/0001-71,"198.327,00",14477871.0,FII,30/12/2022,BCIA11
22,FII KINEA,30.091.444/0001-40,"11.100,00",870462.0,FII,30/12/2022,BCIA11
23,FII KINEA RI,16.706.958/0001-32,"206.994,00",20428237.86,FII,30/12/2022,BCIA11
24,FII MAUA,23.648.935/0001-84,"131.497,00",11558586.3,FII,30/12/2022,BCIA11
25,FII OLIMPIA,15.296.696/0001-12,"10.545,00",1036257.15,FII,30/12/2022,BCIA11
26,FII RBR PROP,21.408.063/0001-51,"15.200,00",775048.0,FII,30/12/2022,BCIA11
27,FII RBR RENDIMENTO HIGH GRADE,29.467.977/0001-03,"133.661,00",11256929.42,FII,30/12/2022,BCIA11
28,FII RBRALPHA,27.529.279/0001-51,"37.800,00",2601396.0,FII,30/12/2022,BCIA11
29,FII RIO BRAVO RENDA EDUCACIONAL,13.873.457/0001-52,"33.505,00",3943538.5,FII,30/12/2022,BCIA11
30,FII RIO NEGRO,15.006.286/0001-90,"25.736,00",1254115.28,FII,30/12/2022,BCIA11
31,FII TORRE ALMIRANTE,07.122.725/0001-00,"2.544,00",2343024.0,FII,30/12/2022,BCIA11
32,FII XP MALLS,28.757.546/0001-00,"119.101,00",15701183.68,FII,30/12/2022,BCIA11
33,FIM IMOB BM EDIFÍCIO GALERIA FII,15.333.306/0001-37,"1.500,00",28575.0,FII,30/12/2022,BCIA11
34,FUNDO DE INVESTIMENTO IMOBILIARIO FI IMO,08.924.783/0001-01,"144.769,00",8573220.18,FII,30/12/2022,BCIA11
35,FUNDO INVEST IMOB RIO BRAVO RENDA CORP,03.683.056/0001-86,"30.423,00",15763323.3,FII,30/12/2022,BCIA11
36,HEDGE TOP FOFII 3 FII,18.307.582/0001-19,"12.300,00",857187.0,FII,30/12/2022,BCIA11
37,HG REAL ESTATE-FUNDO DE INVESTIMENTO IMO,09.072.017/0001-29,"105.881,00",13024421.81,FII,30/12/2022,BCIA11
38,HSI LOGÍSTICA FII,32.903.621/0001-71,"6.197,00",550913.3,FII,30/12/2022,BCIA11
39,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁ,32.892.018/0001-31,"143.945,00",11780458.8,FII,30/12/2022,BCIA11
40,JRDM - FII SHOPJSUL,14.879.856/0001-93,"3.367,00",272727.0,FII,30/12/2022,BCIA11
41,KINEA HIGH YIELD CRI FDO INV IMOB - FII,30.130.708/0001-28,"110.835,00",10840771.35,FII,30/12/2022,BCIA11
42,KINEA ÍNDICES DE PREÇOS FDO INV IMOB - F,24.960.430/0001-13,"229.258,00",21080273.1,FII,30/12/2022,BCIA11
43,KINEA RENDA IMOBILIARIA FUNDO DE INVESTI,12.005.956/0001-65,"63.824,00",8948124.8,FII,30/12/2022,BCIA11
44,KINEA RENDIMENTOS FII,35.864.448/0001-38,"119.865,00",10356336.0,FII,30/12/2022,BCIA11
45,LOGCP FII CLOSED FUND,34.598.181/0001-11,"84.155,00",6951203.0,FII,30/12/2022,BCIA11
46,SDI LOGISTICA RIO - FUNDO DE INVESTIMENT,16.671.412/0001-93,"84.103,00",11061078.0,FII,30/12/2022,BCIA11
47,VINCI LOGÍSTICA FDO INV IMOB - FII,24.853.044/0001-22,"8.371,00",836514.03,FII,30/12/2022,BCIA11
48,VINCI SHOPPING CENTERS FDO INVEST IMOB,17.554.274/0001-25,"50.384,00",5351788.48,FII,30/12/2022,BCIA11
49,XP CREDITO IMOBILIÁRIO - FDO INV IMOB,28.516.301/0001-91,"150.898,00",12266498.42,FII,30/12/2022,BCIA11
50,XP LOG FII,26.502.794/0001-85,"109.048,00",10804475.84,FII,30/12/2022,BCIA11
0,AUTONOMY EDIFÍCIOS CORPORATIVOS FII,35.765.826/0001-26,"72.066,00",5004983.7,FII,30/12/2022,BCIA11
1,BB PROGRESSIVO II FI IMOB FII,14.410.722/0001-29,"16.351,00",1398010.5,FII,30/12/2022,BCIA11
2,BRESCO - FUNDO DE INVESTIMENTO IMOBILIÁR,20.748.515/0001-81,"136.635,00",13433953.2,FII,30/12/2022,BCIA11
3,CAPITÂNIA REIT FOF - FDO. INVEST. IMOB,34.081.611/0001-23,"0,00",1142750.0,FII,30/12/2022,BCIA11
4,CSHG BRASIL SHOPPING - FUNDO DE INVESTIM,08.431.747/0001-06,"14.058,00",2672988.12,FII,30/12/2022,BCIA11
5,CSHG JHSF PRIME OFFICES FII,11.260.134/0001-68,"1.283,00",337698.43,FII,30/12/2022,BCIA11
6,CSHG LOGÍSTICA FI IMOB,11.728.688/0001-47,"15.566,00",2560607.0,FII,30/12/2022,BCIA11
7,CSHG RECEBIVEIS IMOBILIARIOS BC - FUNDO,11.160.521/0001-22,"112.578,00",11499842.7,FII,30/12/2022,BCIA11
8,CSHG RENDA URBANA - FDO INV IMOB - FII,29.641.226/0001-53,"44.200,00",5400798.0,FII,30/12/2022,BCIA11
9,FDO INV IMOB - VBI LOGÍSTICO,30.629.603/0001-18,"139.560,00",14378866.8,FII,30/12/2022,BCIA11
10,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I,29.267.567/0001-00,"85.933,00",7527730.8,FII,30/12/2022,BCIA11
11,FDO INV IMOB RBR CREDITO IMOB ESTRUTURAD,30.166.700/0001-11,"118.457,00",11652615.09,FII,30/12/2022,BCIA11
12,FDO INV IMOB SHOPPING PATIO HIGIENOPOLIS,03.507.519/0001-59,"689,00",507420.94,FII,30/12/2022,BCIA11
13,FDO INV IMOB TORRE NORTE,04.722.883/0001-02,"9.808,00",1226000.0,FII,30/12/2022,BCIA11
14,FDO INV. IMOB. VBI CRI,28.729.197/0001-13,"148.462,00",12812270.6,FII,30/12/2022,BCIA11
15,FDO. INV. IMOB. VBI PRIME PROPERTIES,35.652.102/0001-76,"196.049,00",18379593.75,FII,30/12/2022,BCIA11
16,FII BC FFII,11.026.627/0001-38,"18.600,00",1232436.0,FII,30/12/2022,BCIA11
17,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,09.552.812/0001-14,"120.485,00",9746031.65,FII,30/12/2022,BCIA11
18,FII CAMPOS FARIA LIMA,11.602.654/0001-01,"39.407,00",7455867.09,FII,30/12/2022,BCIA11
