,currency,shortName,longName,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,symbol,priceEarnings,earningsPerShare,logourl,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,averageDailyVolume3Month,averageDailyVolume10Day,marketCap
22,BRL,FIAGRO CRAA CI,Sparta Fiagro Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Imobiliario,0.59000397,0.5736548,2023-07-28T19:24:51.000Z,103.44,103.45,102.85 - 103.45,102.85,1481.0,102.85,102.9,3.4300003,0.034296572,100.01 - 104.74,-1.2999954,-0.012411643,100.01,104.74,CRAA11,,,https://brapi.dev/favicon.svg,103.2484,0.19160461,0.0018557636,1292.0,1618.0,
23,BRL,FIAGRO SUNO CI  ER,Suno Agro - Fiagro-Imobiliario,0.05999756,0.059616018,2023-07-28T20:06:00.000Z,100.7,100.7,100.54 - 100.7,100.54,12242.0,100.64,100.64,5.699997,0.05999997,95.0 - 109.99,-9.290001,-0.08446223,95.0,109.99,SNAG11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,101.0068,-0.30680084,-0.0030374276,12978.0,19700.0,
24,BRL,FIAGRO VGIA CI  ER,Valora Cra Fundo De Investimento In Agroindustrial Production Chains - Fiagro-Imobiliário,0.0,0.0,2023-07-28T20:05:00.000Z,9.42,9.45,9.41 - 9.45,9.41,293546.0,9.42,9.45,0.15999985,0.0172786,9.26 - 10.68,-1.2600002,-0.117977545,9.26,10.68,VGIA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,9.7912,-0.3711996,-0.037911557,482696.0,417529.0,
25,BRL,FIAGRO VCRA CI,Vectis Datagro Credito Agronegocio - FI Nas Cadeias Produtivas Agroindustriais - Imobiliario,-0.19999695,-0.20757338,2023-07-28T19:50:23.000Z,96.15,96.49,96.07 - 96.49,96.07,4871.0,96.35,96.37,0.7099991,0.007439219,95.44 - 116.0,-19.849998,-0.17112067,95.44,116.0,VCRA11,,,https://s3-symbol-logo.tradingview.com/fii-vect-renci-er--big.svg,103.0059,-6.855896,-0.06655829,5468.0,4621.0,
26,BRL,FIAGRO XP CACI,Xp Credito Agricola - Fundo De Investimento Nas Cadeias Produtivas - Fiagro - Imobiliario,0.010000229,0.10752934,2023-07-28T20:06:00.000Z,9.31,9.32,9.28 - 9.32,9.28,167200.0,9.3,9.3,0.10000038,0.010857805,9.21 - 11.55,-2.2399998,-0.19393937,9.21,11.55,XPCA11,,,https://s3-symbol-logo.tradingview.com/banco-do-brasil--big.svg,9.7677,-0.45769978,-0.0468585,205623.0,201064.0,
0,BRL,FII ARXD R  CI,Arx Dover Recebiveis Fundo De Investimento Imobiliario,0.0,0.0,2023-07-21T19:42:32.000Z,100.0,100.0,100.0 - 100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0 - 100.0,0.0,0.0,100.0,100.0,ARXD11,,,https://brapi.dev/favicon.svg,100.0,0.0,0.0,16.0,0.0,
1,BRL,FII CANUMA  CI  ES,Canuma Capital Multiestrategia Fundo De Investimento Imobiliario,0.020004272,0.019669885,2023-07-28T14:15:34.000Z,101.72,101.72,101.72 - 101.72,101.72,2.0,101.7,101.72,11.709999,0.13009664,90.01 - 130.05,-28.330002,-0.2178393,90.01,130.05,CCME11,,,https://brapi.dev/favicon.svg,105.50779,-3.7877884,-0.035900556,1.0,3.0,272688960.0
2,BRL,FII INTER ITCI,Ifi E Inter Fundo De Investimento Imobiliario,0.009994507,0.012899467,2023-07-28T20:00:00.000Z,77.49,77.5,76.7 - 77.5,76.7,954.0,77.48,77.49,8.089996,0.11657055,69.4 - 84.0,-6.510002,-0.07750002,69.4,84.0,ITIT11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,75.9429,1.5470963,0.020371836,1365.0,1208.0,69779280.0
3,BRL,FII JASC RENCI,Jasc Renda Varejo Essencial Fundo De Investimento Imobiliario - FII,0.55000305,0.5530448,2023-07-28T20:00:00.000Z,100.0,100.0,100.0 - 100.0,100.0,123000.0,99.45,100.0,0.34617615,0.0034737869,99.653824 - 101.0,-1.0,-0.00990099,99.653824,101.0,JASC11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,100.18166,-0.18166351,-0.0018133409,2400.0,12300.0,182028992.0
4,BRL,FII AFHI CRICI  ER,Af Invest Cri Fundo De Investimento Imobiliario – Recebiveis Imobiliarios,-0.5699997,-0.5866005,2023-07-28T20:05:00.000Z,96.6,97.2,96.6 - 97.2,96.6,21973.0,97.17,97.17,5.0899963,0.055622295,91.51 - 101.95,-5.3499985,-0.05247669,91.51,101.95,AFHI11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,95.0471,1.5529022,0.01633824,9098.0,10108.0,
5,BRL,FII ALIANZMECI  ER,Alianza Fofii Fundo De Investimento Imobiliario,0.25,0.26598576,2023-07-28T19:43:29.000Z,94.24,95.06,92.51 - 95.06,92.51,980.0,93.99,94.3,18.04,0.23674543,76.2 - 99.84,-5.5999985,-0.05608973,76.2,99.84,ALZM11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,88.1559,6.084099,0.06901522,860.0,1097.0,
6,BRL,FII ALIANZA CI  ER,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario,0.48999786,0.43362644,2023-07-28T20:05:00.000Z,113.49,113.96,113.0 - 113.96,113.0,50146.0,113.0,113.16,4.869995,0.044835158,108.62 - 120.96,-7.470001,-0.061755963,108.62,120.96,ALZR11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,113.40483,0.08516693,0.00075099914,23326.0,37862.0,
7,BRL,FII ASA MET CI,Core Metropolis Fundo De Investimento Imobiliario,0.11999893,0.24489579,2023-07-28T18:14:22.000Z,49.12,49.49,49.0 - 49.49,49.0,46.0,49.0,49.03,1.7199974,0.036286864,47.4 - 85.0,-35.88,-0.42211765,47.4,85.0,ASMT11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,64.6356,-15.515598,-0.24004726,519.0,244.0,49970756.0
8,BRL,FII AUTONOMYCI,Autonomy Edifícios Corporativos Fundo de Investimento Imobiliario,0.58000183,0.8248035,2023-07-28T20:05:00.000Z,70.9,71.1,70.0 - 71.1,70.0,7199.0,70.32,70.4,12.370003,0.21134466,58.53 - 82.0,-11.099998,-0.13536583,58.53,82.0,AIEC11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,66.2489,4.6511,0.07020645,8117.0,8433.0,342092512.0
9,BRL,FII BEES CRICI,Banestes Recebiveis Imobiliarios Fundo Investimento Imobiliario FII,0.47999573,0.6317395,2023-07-28T20:05:00.000Z,76.46,76.46,75.8 - 76.46,75.8,7353.0,75.98,76.4,9.159996,0.13610692,67.3 - 106.53,-30.07,-0.2822679,67.3,106.53,BCRI11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,86.54015,-10.080154,-0.11647951,8831.0,8095.0,478476736.0
10,BRL,FII BANRISULCI,Banrisul N Front Fund Investment IMO FII Fund,0.4300003,0.35684672,2023-07-28T19:42:49.000Z,120.93,121.0,120.03 - 121.0,120.03,545.0,120.5,120.5,10.940002,0.09946361,109.99 - 135.0,-14.07,-0.10422222,109.99,135.0,BNFS11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,119.1012,1.828804,0.015355043,1217.0,791.0,84651000.0
11,BRL,FII BB FOF  CI,BB Fundos De Fundos - Fundo De Investimento Imobiliario,0.0,0.0,2023-07-28T19:52:52.000Z,75.1,75.35,75.09 - 75.35,75.09,1076.0,75.1,75.09,16.21,0.27525896,58.89 - 80.2,-5.0999985,-0.063591,58.89,80.2,BBFO11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,68.4486,6.6513977,0.09717361,3103.0,3995.0,
12,BRL,FII BB PRGIICI,BB Progressivo II Fundo de Investimento Imobiliário - FII,0.23000336,0.23541798,2023-07-28T20:05:00.000Z,97.93,97.94,97.4 - 97.94,97.4,16651.0,97.7,97.7,19.79,0.25326338,78.14 - 99.68,-1.75,-0.01755618,78.14,99.68,BBPO11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,88.6544,9.275597,0.10462646,14286.0,15194.0,1559016192.0
13,BRL,FII BB CORP CI,BB Renda Corporativa Fundo de Investimento Imobiliário - FII,0.98999786,0.9081716,2023-07-28T20:00:00.000Z,110.0,110.0,108.16 - 110.0,108.16,776.0,109.01,109.01,20.010002,0.22235806,89.99 - 110.0,0.0,0.0,89.99,110.0,BBRC11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,97.02635,12.973648,0.13371262,1285.0,1731.0,174900000.0
14,BRL,FII BB R PAPCI,BB Renda de Papéis Imobiliários Fundo de Investimento Imobiliário - FII,0.0,0.0,2023-07-27T19:50:59.000Z,119.0,119.0,119.0 - 119.0,119.0,0.0,119.0,0.0,18.980003,0.18976209,100.02 - 315.0,-196.0,-0.62222224,100.02,315.0,RNDP11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,141.7567,-22.756699,-0.1605335,43.0,31.0,12790239.0
15,BRL,FII BLUE LOGCI,Bluemacaw Logastica Fundo De Investimento ImobiliaRio,0.38000488,0.56422406,2023-07-28T20:05:00.000Z,67.73,67.73,67.22 - 67.73,67.22,3380.0,67.35,67.4,7.6100044,0.12658025,60.12 - 91.99,-24.259995,-0.26372427,60.12,91.99,BLMG11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,70.69185,-2.9618454,-0.041897975,6978.0,7677.0,
16,BRL,FII BCIA    CI,Bradesco Carteira Imobiliaria Ativa Fundos de Investimento Imobiliario,0.91000366,0.86667013,2023-07-28T19:54:43.000Z,105.91,105.91,104.82 - 105.91,104.82,9087.0,105.0,104.82,26.450005,0.33287194,79.46 - 106.67,-0.7599945,-0.007124726,79.46,106.67,BCIA11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,87.5296,18.380402,0.2099907,9734.0,5266.0,393883552.0
17,BRL,FII BRE VIC CI,Brazil Real Estate Victory Fund I Fundo De Investimento Imobiliario,-0.05000305,-0.04549868,2023-07-28T16:25:30.000Z,109.85,109.85,109.85 - 109.85,109.85,1.0,109.9,109.85,27.799995,0.33881772,82.05 - 129.0,-19.150002,-0.14844963,82.05,129.0,BREV11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,100.3927,9.457298,0.09420305,22.0,8.0,
18,BRL,FII BRREALTYCI,Brazil Realty Fundo Investimento Imobiliario,0.0,0.0,2023-07-28T19:01:54.000Z,17.0,17.0,17.0 - 17.0,17.0,1.0,17.0,17.0,1.8500004,0.12211224,15.15 - 19.79,-2.790001,-0.14098033,15.15,19.79,BZLI11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,17.27255,-0.27255058,-0.015779406,6.0,0.0,
19,BRL,FII DEA CARECI,Máxima Renda Corporativa Fundo de Investimento Imobiliário - FII,-0.01999998,-1.0204072,2023-07-28T20:00:00.000Z,1.94,1.98,1.94 - 1.98,1.94,6897.0,1.96,1.96,0.1400001,0.07777784,1.8 - 4.88,-2.94,-0.602459,1.8,4.88,CARE11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,2.4276,-0.48759985,-0.20085676,13508.0,5426.0,69393608.0
20,BRL,FII BRESCO  CI,Bresco - Fundo De Investimento Imobiliario,1.9700012,1.6485366,2023-07-28T20:05:00.000Z,121.47,121.49,119.24 - 121.49,119.24,16513.0,119.5,119.5,31.470001,0.34966668,90.0 - 121.78,-0.30999756,-0.002545554,90.0,121.78,BRCO11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,102.94605,18.523949,0.1799384,35305.0,25598.0,
21,BRL,FII BRIO CRECI,,0.0,0.0,2023-07-26T16:52:58.000Z,947.99,947.99,947.99 - 947.99,947.99,0.0,947.99,0.0,107.98999,0.12855951,840.0 - 1000.0,-52.01001,-0.05201001,840.0,1000.0,BICE11,,,https://brapi.dev/favicon.svg,968.6836,-20.693604,-0.021362603,242.0,355.0,
22,BRL,FII BRIO ME CI,Brio Multiestrategia - Fundo De Investimento Imobiliario,-0.03000021,-0.38660064,2023-07-28T19:53:17.000Z,7.73,7.78,7.65 - 7.78,7.65,5076.0,7.76,7.75,1.21,0.18558283,6.52 - 9.5,-1.77,-0.18631579,6.52,9.5,BIME11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,7.4967,0.23330021,0.031120388,11057.0,6750.0,45385768.0
23,BRL,FII BRIO II CI,Brio Real Estate II - Fundo De Investimento Imobiliario - FII,14.5,1.4275588,2022-07-29T19:20:41.000Z,1030.22,0.0,0.0 - 0.0,0.0,0.0,1015.72,0.0,1030.22,,0.0 - 0.0,1030.22,,0.0,0.0,BRIM11,,,https://brapi.dev/favicon.svg,,,,,,
24,BRL,FII BRIO IIICI,Brio Real Estate III - Fundo De Investimento Imobiliario,9.299988,0.9886136,2023-06-29T17:11:33.000Z,950.01,950.01,950.01 - 950.01,950.01,0.0,940.71,0.0,41.01001,0.045115523,909.0 - 1213.99,-263.97998,-0.21744823,909.0,1213.99,BRIP11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,1051.1785,-101.16846,-0.09624289,3.0,0.0,196152368.0
25,BRL,FII BROF    CI  ER,Brpr Corporate Offices Fundo De Investimento Imobiliario,0.33999634,0.48920336,2023-07-28T20:00:00.000Z,69.84,69.99,69.3 - 69.99,69.3,8848.0,69.5,69.3,14.569996,0.2636149,55.27 - 78.0,-8.160004,-0.104615435,55.27,78.0,BROF11,,,https://brapi.dev/favicon.svg,65.35256,4.4874344,0.06866501,25883.0,13635.0,810898240.0
26,BRL,FII BS2     CI,Bs2 Allinvestments Fundo De Investimento Imobiliario,0.0,0.0,2022-11-30T21:00:00.000Z,100.96,100.96,100.96 - 100.96,100.96,0.0,100.96,0.0,0.0,0.0,100.96 - 100.96,0.0,0.0,100.96,100.96,LLAO11,,,https://brapi.dev/favicon.svg,100.96,0.0,0.0,0.0,0.0,36460696.0
27,BRL,FII BTLG    CI  ER,BTG Pactual Logística Fundo de Investimento Imobiliário,1.6700058,1.5783062,2023-07-28T20:05:00.000Z,107.48,107.7,105.82 - 107.7,105.82,199691.0,105.81,105.82,16.380005,0.17980248,91.1 - 107.7,-0.21999359,-0.0020426519,91.1,107.7,BTLG11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,97.7872,9.692802,0.099121384,71378.0,84019.0,2264270592.0
28,BRL,FII BTOWERS CI,Btowers Fundo Investimento Imobiliario,0.47000122,0.44119143,2023-03-21T20:00:00.000Z,107.0,107.0,107.0 - 107.0,107.0,0.0,106.53,0.0,1.9100037,0.018174933,105.09 - 107.0,0.0,0.0,105.09,107.0,BTWR11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,105.560814,1.4391861,0.013633715,3.0,749.0,
29,BRL,FII BTSP I  CI,Imob IV Fundo De Investimento Imobiliario,0.0,0.0,2023-07-14T16:46:12.000Z,140.0,140.0,140.0 - 140.0,140.0,0.0,140.0,0.0,89.5,1.7722772,50.5 - 141.385,-1.3849945,-0.009795909,50.5,141.385,BTSG11,,,https://brapi.dev/favicon.svg,108.99382,31.00618,0.2844765,6206.0,6206.0,
30,BRL,,Btsp II Fundo De Investimento Imobiliario - Fii,0.0,0.0,2023-07-27T14:36:25.000Z,95.29,95.29,95.29 - 95.29,95.29,0.0,95.29,0.0,0.27999878,0.0029470453,95.01 - 105.0,-9.709999,-0.09247618,95.01,105.0,BTSI11,,,https://brapi.dev/favicon.svg,98.526665,-3.2366638,-0.032850638,14523.0,14523.0,
31,BRL,FII CX RBRA2CI,Caixa Rio Bravo Fundo De Fundos De Investimento Imobiliario II-Cotas,-0.98999786,-1.2374973,2023-07-28T19:35:32.000Z,79.01,79.9,79.01 - 79.9,79.01,40.0,80.0,79.01,20.010002,0.33915257,59.0 - 85.05,-6.040001,-0.07101706,59.0,85.05,CRFF11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,69.875,9.135002,0.13073349,753.0,940.0,54520060.0
32,BRL,FII CX RBRAVCI,CXFI - Caixa Rio Bravo Fundo Fundos,-0.5,-0.6329114,2023-07-28T19:16:19.000Z,78.5,79.02,78.5 - 79.02,78.5,331.0,79.0,78.51,19.29,0.32578957,59.21 - 85.0,-6.5,-0.07647059,59.21,85.0,CXRI11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,66.98595,11.514053,0.17188759,918.0,315.0,
33,BRL,FII CAP REITCI,Capitania Reit FOF - Fundo De Investimento Imobiliario,-0.20999908,-0.28501505,2023-07-28T19:54:41.000Z,73.47,74.1,73.34 - 74.1,73.34,2561.0,73.68,73.69,19.54,0.36232156,53.93 - 76.98,-3.5100021,-0.045596283,53.93,76.98,CPFF11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,65.17605,8.293953,0.12725462,6298.0,5523.0,
34,BRL,FII CAPI SECCI  ER,Capitania Securities II Fundo Investimento Imobiliario FII,0.69999695,0.8285948,2023-07-28T20:05:00.000Z,85.18,85.24,84.2 - 85.24,84.2,52862.0,84.48,84.5,11.029999,0.14875251,74.15 - 93.2,-8.019997,-0.08605147,74.15,93.2,CPTS11,,,https://s3-symbol-logo.tradingview.com/fii--big.svg,81.4632,3.7167969,0.04562547,71161.0,74970.0,
